NO_UF,SG_UF,CO_UF,nome_municipio,id_municipio,nome_mesorregiao,id_mesorregiao,nome_escola,id_escola,dependencia,localizacao,funcionamento,sede,alocacao,ocupacao,endereco,telefone
Alagoas,AL,27,Água Branca,2700102,Sertão Alagoano,1,ESCOLA ESTADUAL MONSENHOR SEBASTIAO ALVES BEZERRA,27000095,2,1,1,,1,1,"RUA JOAO PAULO II, 6, 0, CENTRO, 57490000",36441310
Alagoas,AL,27,Água Branca,2700102,Sertão Alagoano,1,CRECHE MUNICIPAL SAO VICENTE DE PAULA,27000265,3,1,2,,,,"RUA ODILON BRANDAO, S/N, , BAIRRO NOVO, 57490000",999261850
Alagoas,AL,27,Água Branca,2700102,Sertão Alagoano,1,ESCOLA MUNICIPAL DE EDUCACAO BASICA AMERICA FERNANDES TORRES,27000281,3,1,1,,1,1,"RUA SANTO ANTONIO, 34, , CENTRO, 57490000",999315318
Alagoas,AL,27,Água Branca,2700102,Sertão Alagoano,1,ESCOLA MUNICIPAL DE EDUCACAO BASICA MANOEL FREIRE DA SILVA,27000400,3,1,1,,1,1,"RUA CORONEL ULISSES LUNA, SN, , CENTRO, 57490000",36441220
Alagoas,AL,27,Água Branca,2700102,Sertão Alagoano,1,ESCOLA MUNICIPAL DE EDUCACAO BASICA MISSENO DE SIQUEIRA TORRES,27000435,3,2,1,,1,1,"SITIO TATAJUBA, S/N, ZONA RURAL, , 57490000",996253042
Alagoas,AL,27,Água Branca,2700102,Sertão Alagoano,1,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL JOSE GOMES LIMA,27000478,3,1,1,,1,1,"RUA BARAO DE AGUA BRANCA, 50, , CENTRO, 57490000",
Alagoas,AL,27,Água Branca,2700102,Sertão Alagoano,1,ESCOLA MUNICIPAL DE EDUCACAO BASICA SANTA ANA,27000613,3,2,1,,1,1,"SITIO MAXI, , , , 57490000",
Alagoas,AL,27,Água Branca,2700102,Sertão Alagoano,1,ESCOLA ESTADUAL DOMINGOS MOEDA,27000710,2,1,1,,1,1,"RUA CORONEL ULISSES LUNA, 4, PREDIO, CENTRO, 57490000",99286829
Alagoas,AL,27,Água Branca,2700102,Sertão Alagoano,1,ESCOLA MUNICIPAL DE EDUCACAO BASICA MARIA JOSE GOMES,27046427,3,2,1,,1,1,"DISTRITO LAGOA DAS PEDRAS, S/N, , ZONA RURAL, 57490000",36441330
Alagoas,AL,27,Água Branca,2700102,Sertão Alagoano,1,ESCOLA MUNICIPAL DE EDUCACAO BASICA ALICE OLIVEIRA SANTOS,27046435,3,2,1,,1,1,"DISTRITO ALTO DOS COELHOS, SN, , ZONA RURAL, 57490000",
Alagoas,AL,27,Água Branca,2700102,Sertão Alagoano,1,ESCOLA MUNICIPAL DE EDUCACAO BASICA FRANCISCO PEREIRA LEITE,27049574,3,2,1,,1,1,"SITIO BATUQUE, , , ZONA RURAL, 57490000",999023076
Alagoas,AL,27,Água Branca,2700102,Sertão Alagoano,1,CRECHE MUNICIPAL PROFª LUCIANA FEITOZA DO NASCIMENTO,27054799,3,1,1,,1,1,"RUA ODILON BRANDAO, S/N, , NOVO, 57490000",999261850
Alagoas,AL,27,Água Branca,2700102,Sertão Alagoano,1,CRECHE MUNICIPAL PROFESSORA MARIA DAS GRACAS DA SILVA,27055256,3,2,1,,1,1,"SITIO MAXI, S/N, , ZONA RURAL, 57490000",999152290
Alagoas,AL,27,Água Branca,2700102,Sertão Alagoano,1,ESCOLA MUNICIPAL DE EDUCACAO BASICA MANOEL RAIMUNDO GOMES,27217183,3,1,1,,1,1,"RUA ODILON BRANDAO, 22, , BAIRRO NOVO, 57490000",36441220
Alagoas,AL,27,Anadia,2700201,Leste Alagoano,3,ESCOLA ESTADUAL RUI BARBOSA,27041212,2,1,1,,1,1,"PRACA DR. CAMPELO DE ALMEIDA, 1, ESCOLA, CENTRO, 57660000",996094180
Alagoas,AL,27,Anadia,2700201,Leste Alagoano,3,ESCOLA MUNICIPAL DR GERALDO TENORIO SILVEIRA,27041352,3,1,1,,1,1,"RUA DR QUINTELA CAVALCANTE, S/N, , CENTRO, 57660000",999606162
Alagoas,AL,27,Anadia,2700201,Leste Alagoano,3,ESCOLA MUNICIPAL PE JACKSON DO NASCIMENTO,27041360,3,2,1,,1,1,"POVOADO TABULEIRO GRANDE, , , ZONA RURAL, 57660000",996131898
Alagoas,AL,27,Anadia,2700201,Leste Alagoano,3,ESCOLA MUNICIPAL PROFESSOR JOSE MEDEIROS,27041387,3,1,1,,1,1,"AV DIVALDO SURUAGY, SN, , CENTRO, 57660000",999594799
Alagoas,AL,27,Anadia,2700201,Leste Alagoano,3,ESCOLA MUNICIPAL CICERO DA ROCHA SOBRINHO,27041409,3,1,1,,1,1,"RUA ISAURO FAUSTINO BARBOSA, SN, , CHA DA MANGABEIRA, 57660000",996112980
Alagoas,AL,27,Anadia,2700201,Leste Alagoano,3,ESCOLA MUNICIPAL DR FRANCISCO MELLO,27041417,3,2,1,,1,1,"POVOADO CHA DO BREJINHO, SN, , , 57660000",999826075
