id_atributo,variavel,descricao,tipo,tamanho,grupo
1,IN_AGUA_POTAVEL,Fornece água potável para o consumo humano,Bool,1,ABASTECIMENTO E SERVICOS
2,IN_AGUA_REDE_PUBLICA,Abastecimento de água - Rede pública,Bool,1,ABASTECIMENTO E SERVICOS
3,IN_AGUA_POCO_ARTESIANO,Abastecimento de água - Poço artesiano,Bool,1,ABASTECIMENTO E SERVICOS
4,IN_AGUA_CACIMBA,Abastecimento de água - Cacimba/Cisterna/Poço,Bool,1,ABASTECIMENTO E SERVICOS
5,IN_AGUA_FONTE_RIO,Abastecimento de água - Fonte/Rio/Igarapé/Riacho/Córrego,Bool,1,ABASTECIMENTO E SERVICOS
6,IN_AGUA_INEXISTENTE,Abastecimento de água - Não há abastecimento de água,Bool,1,ABASTECIMENTO E SERVICOS
7,IN_AGUA_CARRO_PIPA,Abastecimento de água - Carro-pipa,Bool,1,ABASTECIMENTO E SERVICOS
8,IN_ENERGIA_REDE_PUBLICA,Abastecimento de energia elétrica - Rede pública,Bool,1,ABASTECIMENTO E SERVICOS
9,IN_ENERGIA_GERADOR_FOSSIL,Abastecimento de energia elétrica - Gerador movido a combustível fóssil,Bool,1,ABASTECIMENTO E SERVICOS
10,IN_ENERGIA_RENOVAVEL,Abastecimento de energia elétrica - Fontes de energia renováveis,Bool,1,ABASTECIMENTO E SERVICOS
11,IN_ENERGIA_INEXISTENTE,Abastecimento de energia elétrica - Não há energia elétrica,Bool,1,ABASTECIMENTO E SERVICOS
12,IN_ESGOTO_REDE_PUBLICA,Esgoto sanitário - Rede pública,Bool,1,ABASTECIMENTO E SERVICOS
13,IN_ESGOTO_FOSSA_SEPTICA,Esgoto sanitário - Fossa Séptica,Bool,1,ABASTECIMENTO E SERVICOS
14,IN_ESGOTO_FOSSA_COMUM,Esgoto sanitário - Fossa rudimentar/comum,Bool,1,ABASTECIMENTO E SERVICOS
15,IN_ESGOTO_FOSSA,Esgoto sanitário - Fossa,Bool,1,ABASTECIMENTO E SERVICOS
16,IN_ESGOTO_INEXISTENTE,Esgoto sanitário - Não há esgotamento sanitário,Bool,1,ABASTECIMENTO E SERVICOS
17,IN_LIXO_SERVICO_COLETA,Destinação do lixo - Serviço de coleta,Bool,1,ABASTECIMENTO E SERVICOS
18,IN_LIXO_QUEIMA,Destinação do lixo - Queima,Bool,1,ABASTECIMENTO E SERVICOS
19,IN_LIXO_ENTERRA,Destinação do lixo - Enterra,Bool,1,ABASTECIMENTO E SERVICOS
20,IN_LIXO_DESTINO_FINAL_PUBLICO,Destinação do lixo - Destinação final financiada pelo poder público,Bool,1,ABASTECIMENTO E SERVICOS
21,IN_LIXO_DESCARTA_OUTRA_AREA,Destinação do lixo - Descarta em outra área,Bool,1,ABASTECIMENTO E SERVICOS
22,IN_TRATAMENTO_LIXO_SEPARACAO,Tratamento do lixo/resíduos - Separação,Bool,1,ABASTECIMENTO E SERVICOS
23,IN_TRATAMENTO_LIXO_REUTILIZA,Tratamento do lixo/resíduos - Reaproveitamento/reutilização,Bool,1,ABASTECIMENTO E SERVICOS
24,IN_TRATAMENTO_LIXO_RECICLAGEM,Tratamento do lixo/resíduos - Reciclagem,Bool,1,ABASTECIMENTO E SERVICOS
25,IN_TRATAMENTO_LIXO_INEXISTENTE,Tratamento do lixo/resíduos - Não faz tratamento,Bool,1,ABASTECIMENTO E SERVICOS
26,IN_ALMOXARIFADO,Almoxarifado,Bool,1,ESPACO ADMINISTRATIVO
27,IN_AREA_VERDE,Área de vegetação ou gramado,Bool,1,LAZER E CONVIVENCIA
28,IN_AREA_PLANTIO,"Área de horta, plantio e/ou produção agricola",Bool,1,LAZER E CONVIVENCIA
29,IN_AUDITORIO,Auditório,Bool,1,ESPACO PEDAGOGICO
30,IN_BANHEIRO,Banheiro,Bool,1,HIGIENE E BEM-ESTAR
31,IN_BANHEIRO_EI,Banheiro adequado à educação infantil,Bool,1,HIGIENE E BEM-ESTAR
32,IN_BANHEIRO_PNE,Banheiro acessível (PNE),Bool,1,ACESSIBILIDADE
33,IN_BANHEIRO_FUNCIONARIOS,Banheiro exclusivo para os funcionários,Bool,1,ESPACO ADMINISTRATIVO
34,IN_BANHEIRO_CHUVEIRO,Banheiro ou vestiário com chuveiro,Bool,1,HIGIENE E BEM-ESTAR
35,IN_BIBLIOTECA,Biblioteca,Bool,1,ESPACO PEDAGOGICO
36,IN_BIBLIOTECA_SALA_LEITURA,Biblioteca e/ou Sala de leitura,Bool,1,ESPACO PEDAGOGICO
37,IN_COZINHA,Cozinha,Bool,1,HIGIENE E BEM-ESTAR
38,IN_DESPENSA,Despensa,Bool,1,HIGIENE E BEM-ESTAR
39,IN_DORMITORIO_ALUNO,Dormitório de aluno(a),Bool,1,HIGIENE E BEM-ESTAR
40,IN_LABORATORIO_CIENCIAS,Laboratório de ciências,Bool,1,ESPACO PEDAGOGICO
41,IN_LABORATORIO_INFORMATICA,Laboratório de informática,Bool,1,ESPACO PEDAGOGICO
42,IN_LABORATORIO_EDUC_PROF,Laboratório para Educação Profissional,Bool,1,ESPACO PEDAGOGICO
43,IN_PATIO_COBERTO,Pátio coberto,Bool,1,LAZER E CONVIVENCIA
44,IN_PATIO_DESCOBERTO,Pátio descoberto,Bool,1,LAZER E CONVIVENCIA
45,IN_PARQUE_INFANTIL,Parque infantil,Bool,1,LAZER E CONVIVENCIA
46,IN_PISCINA,Piscina,Bool,1,LAZER E CONVIVENCIA
47,IN_QUADRA_ESPORTES,Quadra de esportes coberta ou descoberta,Bool,1,LAZER E CONVIVENCIA
48,IN_REFEITORIO,Refeitório,Bool,1,HIGIENE E BEM-ESTAR
49,IN_SALA_ATELIE_ARTES,Sala/ateliê de artes,Bool,1,ESPACO PEDAGOGICO
50,IN_SALA_MUSICA_CORAL,Sala de música/coral,Bool,1,ESPACO PEDAGOGICO
51,IN_SALA_ESTUDIO_DANCA,Sala/estúdio de dança,Bool,1,ESPACO PEDAGOGICO
52,IN_SALA_MULTIUSO,"Sala multiuso (música, dança e artes)",Bool,1,ESPACO PEDAGOGICO
53,IN_SALA_ESTUDIO_GRAVACAO,Estúdio de gravação e edição,Bool,1,ESPACO PEDAGOGICO
54,IN_SALA_OFICINAS_EDUC_PROF,Salas de oficinas da Educação Profissional,Bool,1,ESPACO PEDAGOGICO
55,IN_SALA_DIRETORIA,Sala de Diretoria,Bool,1,ESPACO ADMINISTRATIVO
56,IN_SALA_LEITURA,Sala de leitura,Bool,1,ESPACO PEDAGOGICO
57,IN_SALA_PROFESSOR,Sala de professores,Bool,1,ESPACO ADMINISTRATIVO
58,IN_SALA_REPOUSO_ALUNO,Sala de repouso para aluno(a),Bool,1,HIGIENE E BEM-ESTAR
59,IN_SECRETARIA,Sala de Secretaria,Bool,1,ESPACO ADMINISTRATIVO
