municipio_id;area
2700102;473845
2700201;186074
2700300;346188
2700409;533259
2700508;131364
2700607;74332
2700706;331752
2700805;66629
2700904;322887
2701001;192952
2701100;168343
2701209;282011
2701308;107168
2701357;65019
2701407;312726
2701506;170145
2701605;600879
2701704;253168
2701803;111695
2701902;157831
2702009;88334
2702108;201463
2702207;39608
2702306;897431
2702355;277617
2702405;628547
2702504;142364
2702553;260615
2702603;175906
2702702;110062
2702801;333756
2702900;517853
2703007;265312
2703106;334341
2703205;428023
2703304;372019
2703403;149332
2703502;209650
2703601;85699
2703700;105416
2703759;334619
2703809;300863
2703908;88772
2704005;246962
2704104;83621
2704203;309171
2704302;509295
2704401;437603
2704500;333951
2704609;334050
2704708;340987
2704807;180107
2704906;91741
2705002;909535
2705101;238112
2705200;114156
2705309;167462
2705408;86605
2705507;418028
2705606;219327
2705705;188397
2705804;327678
2705903;115509
2706000;174188
2706109;196350
2706208;38189
2706307;450990
2706406;688870
2706422;254719
2706448;92813
2706505;251169
2706604;118457
2706703;688713
2706802;243686
2706901;259646
2707008;117576
2707107;403995
2707206;284526
2707305;313681
2707404;256526
2707503;237017
2707602;319829
2707701;293832
2707800;128869
2707909;28857
2708006;436087
2708105;232169
2708204;138969
2708303;256603
2708402;490880
2708501;397257
2708600;335679
2708709;76852
2708808;312746
2708907;41268
2708956;338569
2709004;124616
2709103;153833
2709152;299236
2709202;679997
2709301;420082
2709400;365153
2023População no último censo: Censo 2022: População e Domicílios - Primeiros Resultados - Atualizado em 22/12/2023Densidade demográfica: Censo 2022: População e Domicílios - Primeiros Resultados - Atualizado em 22/12/2023População estimada: IBGE;Estimativas da população residente com data de referência 1o de julho de 2024Escolarização 6 a 14 anos: IBGE
