id_escola,lat,lon
27000095,-9.265806838,-37.93769404
27000265,-9.266773488,-37.93475336
27000281,-9.26049681,-37.93425339
27000400,-9.265472151,-37.93867093
27000435,-9.252391457,-37.92964477
27000478,-9.259351667,-37.935035
27000613,-9.20750946,-37.88195972
27000710,-9.2637504,-37.9369381
27046427,-9.318146667,-37.872155
27046435,-9.34978692,-37.90736489
27049574,-9.250171667,-37.94147333
27054799,-9.267018903,-37.93453272
27217183,-9.26622,-37.93468167
27041212,-9.682020214,-36.30380396
27041352,-9.683902119,-36.30450116
27041360,-9.6839541,-36.3045554
27041387,-9.6839523,-36.3045575
27041409,-9.6839466,-36.3045495
27041417,-9.683960918,-36.30444844
27041450,-9.6839313,-36.3045341
27041468,-9.6839359,-36.3045375
27041476,-9.6839549,-36.3045586
27041492,-9.683864275,-36.3045419
27041514,-9.6839599,-36.3045632
27041522,-9.6838316,-36.3044555
27041549,-9.6839051,-36.3045493
27048691,-9.6838422,-36.3044609
27216217,-9.683885816,-36.30455229
27216268,-9.6838725,-36.304501
27219720,-9.6839271,-36.3044808
27230260,-9.683893025,-36.30451298
27230279,-9.6839171,-36.3045201
27016285,-9.735774,-36.66069
27016323,-9.754109,-36.65984
27016331,-9.74241458,-36.66353656
27016358,-9.749144088,-36.67256252
27016366,-9.753411273,-36.66194022
27016374,-9.739954,-36.66843
27016382,-9.7412391,-36.6766924
27016390,-9.744525,-36.6635
27016404,-9.734405894,-36.674112
27016412,-9.7278677,-36.67755381
27016420,-9.75827137,-36.66255437
27016447,-9.761532,-36.63469
27016455,-9.75240695,-36.66535663
27016463,-9.746263,-36.65655
27016471,-9.7487948,-36.6543406
27016480,-9.760250151,-36.64600806
27016510,-9.7477033,-36.6691213
27016528,-9.773869654,-36.65075993
27016536,-9.755671,-36.66986
27016579,-9.7477353,-36.669087
27016587,-9.73274,-36.67265
27016595,-9.713246005,-36.70867716
27016641,-9.77155384,-36.64141248
27016650,-9.749668,-36.64482
27016668,-9.71423,-36.7186
27016676,-9.688238333,-36.65026
27016684,-9.764324,-36.70459
27016706,-9.798945165,-36.62203414
27016730,-9.81471645,-36.66410117
27016757,-9.754326,-36.65683
27016773,-9.764166,-36.58639
27016781,-9.69642241,-36.67841959
27016790,-9.771784,-36.65081
27016803,-9.831305,-36.6234
27016811,-9.79321546,-36.58402789
27016820,-9.75202062,-36.64423436
27016838,-9.72662306,-36.66129996
27016846,-9.765263503,-36.65168308
27016854,-9.769125,-36.67228
27016862,-9.765788,-36.65125
27016870,-9.74683951,-36.66099776
27016951,-9.73707754,-36.66415111
27016986,-9.680735,-36.67644667
27017117,-9.727535,-36.67784
27017150,-9.758716667,-36.66916
27017176,-9.73511,-36.73156
27017184,-9.76012634,-36.6380148
27017192,-9.79530659,-36.58966591
27017214,-9.7772583,-36.61250918
27017222,-9.768193955,-36.66166365
27017249,-9.83384513,-36.55934697
27017257,-9.743898,-36.70319
27017273,-9.67370027,-36.63963175
27017311,-9.755653333,-36.652615
27017320,-9.748655,-36.671225
27017338,-9.740731884,-36.65591229
27017346,-9.642838128,-36.68027462
27017362,-9.645489,-36.68108
27017389,-9.797663052,-36.63229148
27017400,-9.76541,-36.65155
27047636,-9.745513,-36.63129
27048560,-9.7803391,-36.67664352
27048624,-9.72355157,-36.66209806
27048640,-9.743699371,-36.69070071
27048926,-9.781730213,-36.67589942
27051145,-9.72398395,-36.66489179
27051528,-9.718826953,-36.67608845
27051773,-9.759344133,-36.63114608
27052869,-9.826751667,-36.61817
27053679,-9.7591492,-36.63175447
27054055,-9.73129258,-36.63920966
27218600,-9.85327134,-36.59226715
27219682,-9.757597,-36.64394
27222977,-9.736611,-36.65862
27223043,-9.744323404,-36.6489828
27223574,-9.741945,-36.66223
27223590,-9.737825,-36.67803667
27223604,-9.756643,-36.66989
27223647,-9.7358,-36.731775
27223655,-9.793101667,-36.58423
27223671,-9.831641667,-36.62348333
27223710,-9.745475,-36.64758167
27224554,-9.723548228,-36.64645448
27225666,-9.736799,-36.65831
27226158,-9.747565775,-36.66971267
27239209,-9.768761,-36.65737
27239403,-9.74279361,-36.69087398
27025667,-9.511910873,-35.99865734
27025675,-9.537529279,-36.17687219
27025683,-9.5109966,-36.0004496
27025691,-9.5055441,-36.0236577
27025730,-9.460187405,-36.02487803
27026060,-9.506607768,-36.02815309
27026108,-9.5103968,-36.0054039
27026124,-9.491118682,-36.02585854
27026132,-9.5089195,-36.0192296
27026140,-9.546134854,-35.98298854
27026191,-9.51081519,-36.00529899
27026221,-9.4956964,-36.2032896
27026230,-9.485482103,-36.00277101
27026280,-9.4880549,-36.1519313
27026337,-9.503517,-36.02286
27026353,-9.495853703,-36.08284282
27047938,-9.5301591,-36.0652777
27047946,-9.515703935,-36.00313587
27047954,-9.5314308,-36.1725635
27220125,-9.5086285,-35.9922774
27221997,-9.5888844,-36.081837
27222004,-9.501632815,-36.09055376
27222020,-9.5406131,-36.198366
27222985,-9.545278139,-36.06851857
27224163,-9.4974714,-36.0949212
27227103,-9.506127611,-36.02638425
27268004,-9.456383153,-36.02419834
27341011,-9.503940018,-36.02268767
27033970,-9.433223333,-35.52014333
27033988,-9.40625,-35.50653333
27033996,-9.41338,-35.50807667
27034003,-9.4039557,-35.49976253
27034038,-9.404435,-35.510415
27034054,-9.403358333,-35.49980833
27052168,-9.405251667,-35.50095333
27221393,-9.405276667,-35.50094833
27226492,-9.409161667,-35.51223167
27230058,-9.434815,-35.52042833
27034070,-9.8446087,-35.9033301
27034100,-9.828861667,-35.88474833
27034127,-9.836845,-35.89026
27034135,-9.84266804,-35.89906695
27034143,-9.843931,-35.9056265
27034151,-9.837791667,-35.89536167
27034160,-9.83159,-35.88600167
27049230,-9.8339437,-35.9499085
27051595,-9.8458617,-35.903995
27052842,-9.821755,-35.92684667
27053555,-9.840663333,-35.89625333
27054098,-9.831628333,-35.88585
27009270,-9.67090082,-37.12939103
27009297,-9.67134649,-37.12897989
27009319,-9.78861,-37.10222
27009378,-9.729166,-37.13361
27009408,-9.67366881,-37.11938908
27009416,-9.67492686,-37.12481371
27009459,-9.6730402,-37.1254223
27050556,-9.669296667,-37.12711167
27219011,-9.67622755,-37.12953545
27221270,-9.68185122,-37.12569761
27226131,-9.6662582,-37.1286852
27011666,-9.573558681,-36.49504194
27011690,-9.5714991,-36.493518
27011704,-9.5426756,-36.49342561
27011720,-9.51578714,-36.50632332
27011739,-9.57697205,-36.50238322
27011747,-9.608750981,-36.44593849
27011755,-9.559444,-36.50278
27011763,-9.604899245,-36.46517412
27011771,-9.603118594,-36.45639366
27011801,-9.572717599,-36.46035494
27011828,-9.590246296,-36.45736336
27011836,-9.52983152,-36.52495133
27011844,-9.5730359,-36.4944145
27009572,-9.84595627,-37.10458547
27009653,-9.8125,-37.29805
27223892,-9.8125,-37.29805
27041603,-9.64774462,-36.20753658
27041689,-9.6478912,-36.2069567
27041719,-9.6498517,-36.211271
27041727,-9.6458825,-36.2129495
27041735,-9.6635902,-36.141424
27041816,-9.6592543,-36.1216558
27041824,-9.642220885,-36.21868171
27051471,-9.6406603,-36.2091465
27226824,-9.642039626,-36.21872429
27322025,-9.6645428,-36.1426485
27355020,-9.641902205,-36.21883241
27026370,-9.246113,-36.01711
27026477,-9.220554,-36.0575
27011852,-9.3991868,-36.99053858
27011860,-9.39931461,-36.92440771
27011984,-9.40038101,-36.92301069
27012026,-9.40271639,-36.99118424
27012034,-9.44260154,-37.00374865
27012085,-9.5209567,-36.91552321
27012115,-9.4010596,-36.9880748
27012131,-9.39988271,-36.94721265
27050530,-9.39797652,-36.98244511
27053466,-9.40687975,-36.9965694
27222055,-9.39818599,-36.99178247
27224252,-9.40055737,-36.98399769
27224279,-9.394772,-36.98502
27026736,-9.38052,-36.161225
27026744,-9.397291,-36.1531
27026752,-9.397595,-36.153195
27026779,-9.340708333,-36.13532
27026795,-9.397555,-36.15284
27026809,-9.392023333,-36.15466667
27026817,-9.415445,-36.19493
27026841,-9.389313333,-36.14916
27026906,-9.397755,-36.15327
27026973,-9.399485,-36.14438
27027007,-9.397653333,-36.14438
27027015,-9.397536667,-36.14663833
27027023,-9.392281667,-36.15447667
27053024,-9.398566667,-36.14277667
27216713,-9.402901667,-36.13980167
27218015,-9.396281667,-36.15472167
27219933,-9.381901667,-36.16245833
27219950,-9.389165,-36.15299
27219968,-9.400401667,-36.144175
27221938,-9.393328333,-36.1522
27225658,-9.39604,-36.156845
27029301,-9.7504707,-36.65680668393855
27029425,-8.852616,-35.56991
27221865,-8.849456,-35.56907
27230198,-8.848547,-35.56882
27041921,-9.783311,-36.3509906
27041972,-9.77170023,-36.34768265
27041980,-9.804842379,-36.26779597
27042022,-9.78456383,-36.35359405
27042057,-9.77994109,-36.3599754
27042073,-9.78828269,-36.33252484
27042154,-9.89835929,-36.22355865
27048500,-9.80342471,-36.27637718
27048748,-9.89311424,-36.2209712
27049434,-9.89875812,-36.22606016
27049442,-9.78322216,-36.35587307
27050009,-9.89058654,-36.22071181
27050025,-9.80513617,-36.26985668
27050742,-9.77843216,-36.35804284
27051366,-9.77863937,-36.36221927
27051676,-9.8982728,-36.2236324
